neighborhood,routes_losing_count,routes_losing,routes_left_count,routes_left,completely_cut_off,population_total,below_poverty_count,below_poverty_pct,below_poverty_pct_100,transit_dependent_count_proxy,transit_dependent_pct_proxy,transit_dependent_pct_proxy_100
Banksville,1,036,0,,yes,3677,349,0.097622378,9.8,69,0.035060976,3.5
Beechview,1,041,0,,yes,7647,721,0.094868421,9.5,376,0.091439689,9.1
Brighton Heights,4,014;019L;O12;P10,0,,yes,7047,644,0.092342988,9.2,778,0.206859878,20.7
Brookline,3,039;G31;Y47,0,,yes,12924,1348,0.104310145,10.4,501,0.075759867,7.6
Carrick,3,051L;Y45;Y49,0,,yes,10066,1937,0.193409885,19.3,592,0.119114688,11.9
Central Northside,1,018,0,,yes,2953,857,0.291397484,29.1,163,0.105297158,10.5
Crafton Heights,2,020;026,0,,yes,3951,1047,0.264996203,26.5,252,0.134543513,13.5
East Hills,1,P16,0,,yes,3505,1706,0.486733238,48.7,134,0.155092593,15.5
Fineview,1,007,0,,yes,1268,265,0.208990536,20.9,239,0.35832084,35.8
Greenfield,1,058,0,,yes,7344,744,0.10130719,10.1,752,0.184811993,18.5
Homewood South,1,052L,0,,yes,2177,791,0.363344051,36.3,104,0.199233716,19.9
Knoxville,1,043,0,,yes,4188,938,0.223973257,22.4,429,0.231017771,23.1
Lincoln Place,1,P17,0,,yes,3272,460,0.140931373,14.1,69,0.048016701,4.8
Marshall-Shadeland,1,O1,0,,yes,4365,1014,0.235266821,23.5,588,0.275538894,27.6
Mount Washington,3,002;040;P13,0,,yes,8596,1022,0.119030981,11.9,577,0.101781619,10.2
Overbrook,1,SLVR,0,,yes,3726,318,0.085783653,8.6,172,0.080562061,8.1
Perry South,1,004,0,,yes,4045,813,0.206765005,20.7,328,0.193738925,19.4
Squirrel Hill South,1,065,0,,yes,15071,2362,0.161515317,16.2,1144,0.150645246,15.1
Swisshelm Park,2,053L;P71,0,,yes,1432,66,0.046089385,4.6,43,0.054916986,5.5
